scenario_id,transaction_id,amount,failure_code,failure_type,initial_attempt_count,recovery_probability,actual_recovery,allowed_action,gateway_response,verification_result,final_state,escalation_required,recovered_amount
SC0000001,TX0000001,4108.28,BANK_TIMEOUT,TRANSIENT,1,0.8357,1,RETRY_PAYMENT,PAYMENT_SUCCESS,VERIFIED_SUCCESS,RECOVERED,0,4108.28
SC0000002,TX0000002,822.35,CARD_BLOCKED,HARD_FAILURE,0,0.1506,0,REQUEST_PAYMENT_METHOD_UPDATE,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000003,TX0000003,12127.84,BANK_TIMEOUT,TRANSIENT,0,0.9305,1,RETRY_PAYMENT,PAYMENT_SUCCESS,VERIFIED_SUCCESS,RECOVERED,0,12127.84
SC0000004,TX0000004,1398.52,BANK_SERVER_ERROR,TRANSIENT,2,0.7099,1,ESCALATE,RETRY_LIMIT_REACHED,NOT_APPLICABLE,ESCALATED,1,0.0
SC0000005,TX0000005,3184.37,BANK_TIMEOUT,TRANSIENT,0,0.8987,1,RETRY_PAYMENT,PAYMENT_SUCCESS,VERIFIED_SUCCESS,RECOVERED,0,3184.37
SC0000006,TX0000006,5656.11,CARD_BLOCKED,HARD_FAILURE,2,0.01,0,REQUEST_PAYMENT_METHOD_UPDATE,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000007,TX0000007,1008.3,BANK_TIMEOUT,TRANSIENT,0,0.9123,1,RETRY_PAYMENT,PAYMENT_SUCCESS,VERIFIED_SUCCESS,RECOVERED,0,1008.3
SC0000008,TX0000008,1332.18,BANK_TIMEOUT,TRANSIENT,0,0.98,1,RETRY_PAYMENT,PAYMENT_SUCCESS,VERIFIED_SUCCESS,RECOVERED,0,1332.18
SC0000009,TX0000009,1450.5,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,0,0.5288,0,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000010,TX0000010,1371.68,INVALID_CARD,HARD_FAILURE,0,0.0641,0,REQUEST_PAYMENT_METHOD_UPDATE,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000011,TX0000011,1369.69,BANK_SERVER_ERROR,TRANSIENT,0,0.8946,1,RETRY_PAYMENT,PAYMENT_SUCCESS_CONFIRMED,VERIFIED_SUCCESS,RECOVERED,0,1369.69
SC0000012,TX0000012,1466.15,NETWORK_ERROR,TRANSIENT,1,0.8506,0,RETRY_PAYMENT,GATEWAY_TIMEOUT,VERIFIED_FAILURE,RETRY_ALLOWED,0,0.0
SC0000013,TX0000013,5690.71,NETWORK_ERROR,TRANSIENT,0,0.7709,1,RETRY_PAYMENT,PAYMENT_SUCCESS,VERIFIED_SUCCESS,RECOVERED,0,5690.71
SC0000014,TX0000014,40229.63,INVALID_CARD,HARD_FAILURE,0,0.1083,0,REQUEST_PAYMENT_METHOD_UPDATE,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000015,TX0000015,5231.81,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,0,0.4531,1,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000016,TX0000016,911.38,INVALID_CARD,HARD_FAILURE,1,0.01,0,REQUEST_PAYMENT_METHOD_UPDATE,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000017,TX0000017,1577.2,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,1,0.4388,1,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000018,TX0000018,807.14,EXPIRED_CARD,CUSTOMER_ACTION_REQUIRED,1,0.1499,0,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000019,TX0000019,1270.45,INVALID_CARD,HARD_FAILURE,0,0.1521,1,REQUEST_PAYMENT_METHOD_UPDATE,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000020,TX0000020,4474.58,BANK_TIMEOUT,TRANSIENT,0,0.9774,1,RETRY_PAYMENT,PAYMENT_SUCCESS_CONFIRMED,VERIFIED_SUCCESS,RECOVERED,0,4474.58
SC0000021,TX0000021,1080.12,CARD_BLOCKED,HARD_FAILURE,0,0.0561,0,REQUEST_PAYMENT_METHOD_UPDATE,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000022,TX0000022,553.3,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,0,0.4102,1,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000023,TX0000023,826.92,GATEWAY_TIMEOUT,TRANSIENT,2,0.6362,0,ESCALATE,RETRY_LIMIT_REACHED,NOT_APPLICABLE,ESCALATED,1,0.0
SC0000024,TX0000024,5760.86,AUTHENTICATION_FAILED,CUSTOMER_ACTION_REQUIRED,0,0.5077,1,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000025,TX0000025,3589.19,AUTHENTICATION_FAILED,CUSTOMER_ACTION_REQUIRED,0,0.5578,0,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000026,TX0000026,11153.18,BANK_TIMEOUT,TRANSIENT,0,0.9156,1,RETRY_PAYMENT,PAYMENT_SUCCESS_CONFIRMED,VERIFIED_SUCCESS,RECOVERED,0,11153.18
SC0000027,TX0000027,182.05,CARD_BLOCKED,HARD_FAILURE,1,0.01,0,REQUEST_PAYMENT_METHOD_UPDATE,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000028,TX0000028,605.04,BANK_SERVER_ERROR,TRANSIENT,0,0.9214,1,RETRY_PAYMENT,PAYMENT_SUCCESS_CONFIRMED,VERIFIED_SUCCESS,RECOVERED,0,605.04
SC0000029,TX0000029,2006.96,CARD_BLOCKED,HARD_FAILURE,0,0.1005,0,REQUEST_PAYMENT_METHOD_UPDATE,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000030,TX0000030,1135.45,BANK_TIMEOUT,TRANSIENT,1,0.8419,1,RETRY_PAYMENT,PAYMENT_SUCCESS,VERIFIED_SUCCESS,RECOVERED,0,1135.45
SC0000031,TX0000031,1113.82,BANK_SERVER_ERROR,TRANSIENT,0,0.8776,0,RETRY_PAYMENT,PAYMENT_FAILED,VERIFIED_FAILURE,RETRY_ALLOWED,0,0.0
SC0000032,TX0000032,4127.78,AUTHENTICATION_FAILED,CUSTOMER_ACTION_REQUIRED,2,0.3574,0,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000033,TX0000033,1471.87,EXPIRED_CARD,CUSTOMER_ACTION_REQUIRED,0,0.3967,0,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000034,TX0000034,9856.71,GATEWAY_TIMEOUT,TRANSIENT,0,0.8669,0,RETRY_PAYMENT,BANK_DECLINED,VERIFIED_FAILURE,RETRY_ALLOWED,0,0.0
SC0000035,TX0000035,1238.92,AUTHENTICATION_FAILED,CUSTOMER_ACTION_REQUIRED,0,0.4968,1,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000036,TX0000036,8935.43,BANK_TIMEOUT,TRANSIENT,1,0.8035,0,RETRY_PAYMENT,BANK_DECLINED,VERIFIED_FAILURE,RETRY_ALLOWED,0,0.0
SC0000037,TX0000037,2512.82,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,1,0.4232,1,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000038,TX0000038,1683.33,AUTHENTICATION_FAILED,CUSTOMER_ACTION_REQUIRED,0,0.3525,1,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000039,TX0000039,2127.62,BANK_TIMEOUT,TRANSIENT,0,0.8349,1,RETRY_PAYMENT,PAYMENT_SUCCESS,VERIFIED_SUCCESS,RECOVERED,0,2127.62
SC0000040,TX0000040,973.59,FRAUD_SUSPECTED,HARD_FAILURE,0,0.1151,0,HUMAN_REVIEW,BLOCKED_AUTOMATION,NOT_APPLICABLE,ESCALATED,1,0.0
