transaction_id,customer_id,amount,payment_method,customer_type,customer_age_days,previous_transactions,previous_success_rate,failure_code,failure_type,attempt_count,time_since_failure_min,hour_of_day,is_weekend,true_recovery_probability,actual_recovery,recovered_amount,recovery_attempts,final_status
TX0000002,C01468,822.35,CREDIT_CARD,LOYAL,914,78,0.8904,CARD_BLOCKED,HARD_FAILURE,0,364,21,0,0.1506,0,0.0,1,UNRECOVERED
TX0000003,C06416,12127.84,NET_BANKING,RETURNING,129,14,0.8052,BANK_TIMEOUT,TRANSIENT,0,1225,23,1,0.9305,1,12127.84,1,RECOVERED
TX0000005,C04754,3184.37,UPI,LOYAL,546,72,0.9062,BANK_TIMEOUT,TRANSIENT,0,1205,5,1,0.8987,1,3184.37,1,RECOVERED
TX0000006,C00123,5656.11,CREDIT_CARD,NEW,2,0,0.5979,CARD_BLOCKED,HARD_FAILURE,2,339,14,0,0.01,0,0.0,3,ESCALATED
TX0000007,C06521,1008.3,DEBIT_CARD,RETURNING,136,24,0.9505,BANK_TIMEOUT,TRANSIENT,0,322,7,1,0.9123,1,1008.3,1,RECOVERED
TX0000008,C08312,1332.18,NET_BANKING,LOYAL,714,31,0.9947,BANK_TIMEOUT,TRANSIENT,0,1370,14,1,0.98,1,1332.18,1,RECOVERED
TX0000010,C00983,1371.68,DEBIT_CARD,NEW,44,2,0.7618,INVALID_CARD,HARD_FAILURE,0,701,6,0,0.0641,0,0.0,1,UNRECOVERED
TX0000012,C07856,1466.15,UPI,LOYAL,1400,96,0.9231,NETWORK_ERROR,TRANSIENT,1,948,21,1,0.8506,0,0.0,2,UNRECOVERED
TX0000014,C06203,40229.63,UPI,RETURNING,336,18,0.7937,INVALID_CARD,HARD_FAILURE,0,1083,21,1,0.1083,0,0.0,1,UNRECOVERED
TX0000016,C08112,911.38,UPI,RETURNING,318,15,0.8452,INVALID_CARD,HARD_FAILURE,1,222,2,1,0.01,0,0.0,2,UNRECOVERED
TX0000017,C08188,1577.2,UPI,LOYAL,1784,85,0.8894,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,1,736,21,1,0.4388,1,1577.2,2,RECOVERED
TX0000019,C03747,1270.45,DEBIT_CARD,RETURNING,444,11,0.9071,INVALID_CARD,HARD_FAILURE,0,315,14,1,0.1521,1,1270.45,1,RECOVERED
TX0000022,C06034,553.3,DEBIT_CARD,NEW,5,2,0.8107,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,0,1314,6,1,0.4102,1,553.3,1,RECOVERED
TX0000023,C06771,826.92,UPI,RETURNING,143,5,0.7846,GATEWAY_TIMEOUT,TRANSIENT,2,295,2,1,0.6362,0,0.0,3,ESCALATED
TX0000025,C02544,3589.19,UPI,LOYAL,1193,51,0.9756,AUTHENTICATION_FAILED,CUSTOMER_ACTION_REQUIRED,0,250,17,0,0.5578,0,0.0,1,UNRECOVERED
TX0000026,C05927,11153.18,CREDIT_CARD,RETURNING,284,23,0.9087,BANK_TIMEOUT,TRANSIENT,0,1375,4,1,0.9156,1,11153.18,1,RECOVERED
TX0000027,C09951,182.05,CREDIT_CARD,RETURNING,147,22,0.7951,CARD_BLOCKED,HARD_FAILURE,1,1380,1,0,0.01,0,0.0,2,UNRECOVERED
TX0000028,C09303,605.04,UPI,LOYAL,629,91,0.9412,BANK_SERVER_ERROR,TRANSIENT,0,53,4,1,0.9214,1,605.04,1,RECOVERED
TX0000029,C09694,2006.96,DEBIT_CARD,RETURNING,102,20,0.8462,CARD_BLOCKED,HARD_FAILURE,0,1118,6,0,0.1005,0,0.0,1,UNRECOVERED
TX0000033,C09259,1471.87,CREDIT_CARD,RETURNING,153,15,0.8153,EXPIRED_CARD,CUSTOMER_ACTION_REQUIRED,0,1036,6,1,0.3967,0,0.0,1,UNRECOVERED
TX0000035,C06999,1238.92,UPI,RETURNING,391,10,0.8598,AUTHENTICATION_FAILED,CUSTOMER_ACTION_REQUIRED,0,773,15,0,0.4968,1,1238.92,1,RECOVERED
TX0000039,C03948,2127.62,UPI,NEW,24,0,0.7392,BANK_TIMEOUT,TRANSIENT,0,853,8,1,0.8349,1,2127.62,1,RECOVERED
TX0000041,C08409,366.97,UPI,RETURNING,293,28,0.7625,CARD_BLOCKED,HARD_FAILURE,1,1065,16,1,0.01,0,0.0,2,UNRECOVERED
TX0000043,C05902,2062.52,UPI,RETURNING,358,24,0.8155,NETWORK_ERROR,TRANSIENT,1,855,13,1,0.7914,1,2062.52,2,RECOVERED
TX0000044,C04911,3511.74,UPI,RETURNING,397,19,0.8214,INVALID_CARD,HARD_FAILURE,1,1425,17,0,0.0252,0,0.0,2,UNRECOVERED
TX0000045,C08921,7839.02,UPI,LOYAL,1225,79,0.8909,NETWORK_ERROR,TRANSIENT,0,810,0,0,0.9415,1,7839.02,1,RECOVERED
TX0000050,C03940,2522.97,CREDIT_CARD,RETURNING,299,17,0.7903,NETWORK_ERROR,TRANSIENT,0,443,11,0,0.8784,1,2522.97,1,RECOVERED
TX0000052,C09727,4649.87,CREDIT_CARD,RETURNING,165,5,0.9303,NETWORK_ERROR,TRANSIENT,0,994,2,0,0.8886,1,4649.87,1,RECOVERED
TX0000053,C09000,1142.29,CREDIT_CARD,LOYAL,1177,45,0.9683,BANK_TIMEOUT,TRANSIENT,0,384,13,1,0.98,1,1142.29,1,RECOVERED
TX0000054,C05697,1749.88,CREDIT_CARD,NEW,24,0,0.515,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,1,1359,7,0,0.2327,0,0.0,2,UNRECOVERED
TX0000055,C05247,3138.52,UPI,LOYAL,1823,25,0.9864,EXPIRED_CARD,CUSTOMER_ACTION_REQUIRED,1,16,18,0,0.4093,0,0.0,2,UNRECOVERED
TX0000056,C09533,1807.24,CREDIT_CARD,NEW,44,1,0.6739,GATEWAY_TIMEOUT,TRANSIENT,0,949,23,0,0.8033,0,0.0,1,UNRECOVERED
TX0000058,C03584,9167.71,DEBIT_CARD,RETURNING,405,8,0.7973,BANK_TIMEOUT,TRANSIENT,0,233,16,1,0.8876,0,0.0,1,UNRECOVERED
TX0000061,C03054,3351.35,NET_BANKING,RETURNING,124,13,0.8807,EXPIRED_CARD,CUSTOMER_ACTION_REQUIRED,1,96,8,0,0.2923,1,3351.35,2,RECOVERED
TX0000063,C01869,759.56,UPI,RETURNING,348,9,0.8665,EXPIRED_CARD,CUSTOMER_ACTION_REQUIRED,0,232,6,0,0.423,0,0.0,1,UNRECOVERED
TX0000064,C00410,1179.52,UPI,NEW,55,0,0.614,BANK_TIMEOUT,TRANSIENT,0,365,19,0,0.7752,1,1179.52,1,RECOVERED
TX0000065,C03825,6551.32,UPI,NEW,21,1,0.565,GATEWAY_TIMEOUT,TRANSIENT,1,383,23,1,0.6816,1,6551.32,2,RECOVERED
TX0000067,C07657,1027.14,CREDIT_CARD,NEW,55,2,0.8482,CARD_BLOCKED,HARD_FAILURE,0,340,23,1,0.01,0,0.0,1,UNRECOVERED
TX0000068,C03525,6019.26,UPI,NEW,39,1,0.8465,AUTHENTICATION_FAILED,CUSTOMER_ACTION_REQUIRED,0,1392,12,1,0.4156,0,0.0,1,UNRECOVERED
TX0000072,C03832,2208.16,DEBIT_CARD,RETURNING,406,28,0.9567,GATEWAY_TIMEOUT,TRANSIENT,1,84,5,0,0.8377,0,0.0,2,UNRECOVERED
TX0000073,C07919,1071.97,DEBIT_CARD,RETURNING,494,19,0.9039,NETWORK_ERROR,TRANSIENT,2,1313,10,0,0.6781,0,0.0,3,ESCALATED
